Unnamed: 0,mean,mean.1,mean.2,mean.3,mean.4,mean.5
hevc_67_4_2,2960.56201171875,2949.856391059028,2975.487358940972,2921.374837239583,2847.603298611111,2816.608371310764
hevc_67_11_3,2893.421278211806,2791.229166666667,2681.167100694444,2851.731146918403,1861.765245225695,2508.959038628472
hevc_68_3_4,745.0196874999999,708.33703125,40.62299479166667,475.7992447916667,6.399609375000001,0.0
hevc_68_37_4,1606.327317708333,1643.934765625,1629.629661458333,1423.489140625,1504.662317708333,1411.258802083333
hevc_68_61_11,1192.591145833333,1919.118854166667,1823.534140625,1371.89578125,1231.597317708333,1617.23765625
hevc_68_80_3,1248.808046875,1174.4503125,1286.818463541667,1224.674947916667,1551.007239583333,1633.248932291667
hevc_68_136_7,812.5610156250001,628.9919270833334,911.6476041666667,902.27734375,769.622578125,899.8453125000001
hevc_70_1_4,2456.300598958333,2555.715338541667,2529.343932291667,2510.159739583333,2586.42359375,2697.870416666667
hevc_70_6_3,2851.927942708333,2848.524427083333,2815.712317708334,2797.834635416667,2801.541171875,2821.923229166666
hevc_70_9_3,2723.159609375,2780.327161458334,2932.49171875,2905.28671875,2831.938385416667,2885.965807291666
hevc_70_12_3,2918.79484375,2681.348307291667,2740.226015625,2703.509869791667,2725.399921875,2933.219505208333
hevc_70_15_4,3092.312864583333,2791.323098958334,2775.062864583334,2728.555989583333,2814.833828125,2805.91734375
hevc_70_30_5,2640.753177083334,2722.632864583333,2759.390651041667,2788.486848958333,2815.464739583334,2836.008541666667
hevc_70_69_6,1574.938932291667,1606.432838541667,1591.869375,1551.207109375,2081.051458333333,2288.867447916667
hevc_71_2_4,3218.095768229167,3253.862076822917,3382.360872395834,3164.720475260417,3241.537434895833,3318.21015625
hevc_71_17_15,533.1214192708334,6.9525390625,11.55989583333333,547.9991536458333,579.8912760416667,10.77692057291667
hevc_71_34_8,2183.31455078125,2736.49609375,3027.1052734375,3004.912825520833,2341.115690104167,3337.915657552083
hevc_71_43_3,2220.40712890625,2329.9828125,2114.45419921875,2274.954361979167,1954.103157552083,2819.289420572917
hevc_71_47_4,2656.738053385417,3294.184928385417,3296.6958984375,3235.215885416666,3369.416569010416,3178.237630208333
hevc_71_61_10,3425.22041015625,3425.09228515625,2944.966731770834,3481.895117187501,3408.49912109375,3242.88388671875
hevc_71_90_3,3111.693294270833,3064.171223958333,2860.35498046875,2879.802897135417,2462.36513671875,2434.840299479167
hevc_71_95_3,3253.3185546875,3529.451627604167,3674.1408203125,3647.480501302083,3562.385709635417,3399.474967447917
hevc_71_99_4,3087.87275390625,3154.6466796875,3444.615201822917,3394.865625,3452.145735677083,3364.00234375
hevc_71_108_4,2455.711783854166,2442.698665364584,2415.007845052083,1847.690657552083,2480.256282552084,2470.364485677083
hevc_71_164_4,2488.764485677083,2720.571126302083,3201.73916015625,2985.07490234375,2845.548795572917,3021.47568359375
hevc_71_185_3,3624.680794270833,3580.793033854167,3591.54169921875,3714.699576822916,3614.84052734375,2967.733268229167
hevc_71_189_3,3433.926855468751,3450.746061197917,3510.165266927083,3493.72509765625,3462.603125,3436.736588541667
hevc_71_193_2,2680.793229166667,2363.721712239584,2729.248274739583,3002.294791666667,2337.098502604166,3289.518522135417
hevc_71_197_7,2484.948502604167,2124.893522135416,1832.375065104167,2320.215592447917,2494.263932291667,2529.618489583333
hevc_71_205_4,3434.205696614583,3279.847981770833,2582.756022135417,2808.512662760417,3175.0357421875,3047.468294270833
hevc_71_210_3,3469.811002604167,3390.291764322917,3539.2123046875,3626.325813802083,3538.989778645833,3361.581282552083
hevc_71_227_3,3376.872428385417,3318.48447265625,3329.809016927084,3368.5099609375,3351.78662109375,3353.26953125
hevc_71_230_5,3569.86015625,3500.75234375,3505.888736979166,3191.001888020833,3152.940234375,3551.64775390625
hevc_71_236_8,2811.007845052083,3446.995865885417,3563.405696614583,3544.5703125,3231.85458984375,3046.880338541667
hevc_73_0_6,2537.02353515625,3298.872395833333,3121.484895833333,2635.853515625,3254.688509114583,3116.563378906249
hevc_74_0_4,1071.283671875,1127.000546875,925.7359895833333,1152.969479166667,889.6579427083334,1204.06
hevc_74_13_2,2652.300234375,2468.350286458333,2612.410416666667,2568.748880208334,2494.251067708333,2574.860494791666
hevc_74_17_3,764.6737499999999,953.2455729166668,927.8673958333334,644.2462760416666,1211.8753125,674.145
hevc_74_29_2,2032.371276041667,1941.603177083333,1942.984505208333,1870.7609375,1763.5640625,1855.846692708333
hevc_74_37_2,1204.326770833333,2306.531640625,2533.614661458333,2559.805911458333,2494.5109375,2534.750703125
hevc_74_40_3,2793.61125,2713.708671875,2874.472421875,2804.386770833333,2771.560546875,2775.131979166666
hevc_74_46_2,1277.406484375,1335.780911458333,1134.255911458333,1480.694921875,1389.76203125,1168.430729166667
hevc_74_52_2,1995.128255208333,2167.559817708333,2170.293802083334,2166.601119791667,2155.49796875,2093.422578125
hevc_75_0_3,10.33010525173611,9.61623806423611,137.2055392795139,81.58308919270833,516.2502983940973,44.04242621527778
hevc_75_4_3,793.4342719184028,935.5594346788195,1054.627685546875,1075.049153645833,1087.538492838542,890.170681423611
hevc_75_8_2,852.5076497395834,802.9021538628473,723.0698513454862,771.4622667100693,899.1206868489584,1077.131401909722
hevc_75_11_2,569.0198296440972,786.9566786024305,536.9702690972223,299.2609049479166,730.6704915364584,911.3348524305554
hevc_75_16_3,573.2757975260416,449.5073784722222,484.2484809027778,312.3253038194445,48.36360677083333,80.31540256076389
hevc_75_22_2,448.1352810329861,369.2571885850695,306.5687391493055,443.797119140625,287.0387098524305,278.6065266927083
hevc_75_30_3,475.6992187500001,580.49560546875,1978.050021701389,2180.759548611111,2062.777425130208,1979.62841796875
hevc_75_42_2,263.1598578559028,279.1678331163195,934.1705186631943,1309.578830295139,1284.841661241319,1225.052381727431
hevc_75_45_3,343.5474989149305,298.144287109375,284.0326063368055,245.1478407118055,685.187744140625,184.7118326822917
hevc_75_55_2,872.7969563802083,767.8720974392361,859.8510199652778,796.9551866319445,522.3400065104166,938.8821614583333
hevc_75_58_5,362.3664279513889,268.2834201388889,211.7958441840278,171.2642144097222,254.4745822482639,146.1502278645833
hevc_75_68_2,2022.196750217014,1934.497477213542,1865.90478515625,1802.623019748264,1751.395887586806,1412.886501736111
hevc_76_1_2,3198.374739583333,4736.335742187501,3100.265234375,3930.245572916667,3673.7619140625,2591.5275390625
hevc_76_5_2,4675.475911458334,5304.38046875,4271.252799479166,3722.873697916667,2022.786393229167,3791.286458333333
hevc_79_0_4,25.8,1016.97796875,1251.462552083333,1131.625364583333,1167.355104166667,1104.909791666667
hevc_79_6_2,1690.717213541667,1754.918020833333,1768.621744791667,1788.819635416667,1790.964036458333,1794.47875
hevc_79_20_3,788.6216145833333,1711.2384375,1667.092708333333,1724.350494791667,1690.57125,1734.936744791667
hevc_79_38_3,1210.003125,1584.925234375,1692.5296875,1392.882135416667,1509.014322916667,1208.247473958333
hevc_79_46_5,1061.651067708333,1116.1359375,1312.610078125,1272.337526041667,1212.783098958333,1047.220364583333
hevc_79_55_2,384.64734375,535.1588281249999,511.6330729166667,561.451875,468.2383072916666,428.3941927083334
hevc_79_64_3,2106.478333333333,2010.762239583333,1956.738567708333,1963.620078125,1965.233541666667,1906.320234375
hevc_79_73_3,841.2279166666666,804.8639062499999,819.6664062499999,781.6120572916667,1084.995182291667,813.5138541666666
hevc_79_90_2,558.0880208333333,508.7478385416667,535.108359375,504.4729947916666,516.85921875,420.9123958333333
hevc_79_141_3,1079.126171875,982.9951302083334,876.7197395833334,939.2433333333333,1025.716822916667,855.0896354166666
hevc_79_192_3,926.7174739583334,852.9834114583332,887.8459114583334,815.5424218750001,1184.500885416667,719.7221354166667
hevc_79_205_3,1980.29765625,1925.170104166667,1931.694244791667,2041.182734375,2143.073307291666,2041.675963541667
hevc_79_258_3,2173.74453125,2011.48515625,2174.512447916667,2179.90078125,2102.571510416667,2085.035026041667
hevc_79_273_3,697.42625,588.5204427083333,563.347421875,652.5289583333333,944.6482291666666,700.5914062500001
hevc_79_327_2,396.0349479166666,291.25875,313.038984375,465.0543229166666,399.7311979166667,402.4670572916666
hevc_79_384_4,958.723359375,945.0652083333333,931.2027864583332,809.8579947916667,817.8705208333333,708.0852343749999
hevc_79_397_2,1332.770234375,1274.231223958333,1192.695520833333,1219.632135416667,1173.884244791667,1206.229817708333
hevc_79_404_3,22.18484375,23.89755208333333,56.52239583333333,84.23216145833334,45.33713541666667,32.91520833333333
hevc_79_418_2,1891.083645833333,1845.236119791667,1825.692760416667,1272.484010416667,1885.6690625,1625.341302083334
hevc_80_4_4,2437.473334418403,2584.991807725694,2624.256591796875,2645.626844618056,2814.01841905382,2844.580322265625
hevc_80_9_14,3185.153428819444,3064.496717664931,3101.065890842014,3132.586669921875,3162.510172526042,3151.665228949652
hevc_80_24_8,499.1656629774306,324.977294921875,427.0947808159722,168.7646755642361,735.7362467447916,338.020263671875
hevc_80_33_5,1917.372124565972,1926.14906141493,1576.377360026042,1442.363199869792,1205.384548611111,1596.364420572917
hevc_80_41_6,79.43199327256946,96.58840603298611,189.2022298177083,127.7935655381944,125.094970703125,26.36756727430556
hevc_80_48_3,447.9985622829861,238.2584906684028,649.6578504774305,697.0597873263889,106.7086859809028,28.692626953125
